,textbook ID,레슨,단어,품사,PoS,뜻,예문,예문 해석,voca_options
0,808,8,charge,동사,1,"(지불, 대금 등을) 청구하다",They charge you $20 to get in the museum.,그들은 박물관에 들어가는 데 너에게 20달러를 청구한다.,"[[1843, 'charge', '청구하다', 1, '동사'], [1844, 'charge', '충전하다', 1, '동사'], [1845, 'charge', '책임을 맡기다', 1, '동사'], [1846, 'charge', '기소하다, 고소하다', 1, '동사'], [1847, 'charge', '(외상으로) 달아놓다', 1, '동사'], [1848, 'charge', '비난', 2, '명사'], [1849, 'charge', '기소, 혐의', 2, '명사'], [1850, 'charge', '요금', 2, '명사']]"
1,903,6,charge,동사,1,(요금을) 청구하다,They charge you $5 to get in the museum.,그들은 박물관에 들어가는 데 5달러를 당신에게 부과할 것이다.,"[[1843, 'charge', '청구하다', 1, '동사'], [1844, 'charge', '충전하다', 1, '동사'], [1845, 'charge', '책임을 맡기다', 1, '동사'], [1846, 'charge', '기소하다, 고소하다', 1, '동사'], [1847, 'charge', '(외상으로) 달아놓다', 1, '동사'], [1848, 'charge', '비난', 2, '명사'], [1849, 'charge', '기소, 혐의', 2, '명사'], [1850, 'charge', '요금', 2, '명사']]"
2,906,5,charge,명사,2,"기소, 혐의",He was arrested on the charge of robbery.,그는 강도 혐의로 체포되었다.,"[[1843, 'charge', '청구하다', 1, '동사'], [1844, 'charge', '충전하다', 1, '동사'], [1845, 'charge', '책임을 맡기다', 1, '동사'], [1846, 'charge', '기소하다, 고소하다', 1, '동사'], [1847, 'charge', '(외상으로) 달아놓다', 1, '동사'], [1848, 'charge', '비난', 2, '명사'], [1849, 'charge', '기소, 혐의', 2, '명사'], [1850, 'charge', '요금', 2, '명사']]"
3,715,7,be in charge of,숙어/관용어,9,~을 담당하다,The coach is in charge of the team practice.,코치는 팀 연습을 담당하고 있다.,"[[1843, 'charge', '청구하다', 1, '동사'], [1844, 'charge', '충전하다', 1, '동사'], [1845, 'charge', '책임을 맡기다', 1, '동사'], [1846, 'charge', '기소하다, 고소하다', 1, '동사'], [1847, 'charge', '(외상으로) 달아놓다', 1, '동사'], [1848, 'charge', '비난', 2, '명사'], [1849, 'charge', '기소, 혐의', 2, '명사'], [1850, 'charge', '요금', 2, '명사']]"
4,807,5,charge,명사,2,"담당, 책임",He took charge of the farm after his father's death.,그는 아버지가 죽고 나서 농장을 책임지게 되었다.,"[[1843, 'charge', '청구하다', 1, '동사'], [1844, 'charge', '충전하다', 1, '동사'], [1845, 'charge', '책임을 맡기다', 1, '동사'], [1846, 'charge', '기소하다, 고소하다', 1, '동사'], [1847, 'charge', '(외상으로) 달아놓다', 1, '동사'], [1848, 'charge', '비난', 2, '명사'], [1849, 'charge', '기소, 혐의', 2, '명사'], [1850, 'charge', '요금', 2, '명사']]"
5,901,1,match,명사,2,"경기, 시합",I want to see the final match of the World Cup!,나는 어서 월드컵 결승전을 보고 싶어!,"[[823, 'match', '대응하다, 연결하다', 1, '동사'], [824, 'match', '맞먹다, 필적하다', 1, '동사'], [825, 'match', '부응하다', 1, '동사'], [826, 'match', '연결시키다', 1, '동사'], [827, 'match', '어울리다', 1, '동사'], [828, 'match', '일치하다', 1, '동사'], [829, 'match', '짝짓기 하다', 1, '동사'], [830, 'match', '맞수, 호적수', 2, '명사'], [831, 'match', '성냥, 시합', 2, '명사'], [832, 'match', '경기, 시합', 2, '명사']]"
6,905,7,match,동사,1,(동) 어울리다,The bag doesn't match your jacket.,그 가방은 너의 재킷과 어울리지 않는다.,"[[823, 'match', '대응하다, 연결하다', 1, '동사'], [824, 'match', '맞먹다, 필적하다', 1, '동사'], [825, 'match', '부응하다', 1, '동사'], [826, 'match', '연결시키다', 1, '동사'], [827, 'match', '어울리다', 1, '동사'], [828, 'match', '일치하다', 1, '동사'], [829, 'match', '짝짓기 하다', 1, '동사'], [830, 'match', '맞수, 호적수', 2, '명사'], [831, 'match', '성냥, 시합', 2, '명사'], [832, 'match', '경기, 시합', 2, '명사']]"
7,905,8,match up,"동사,숙어/관용어",#N/A,맞추다,It doesn't match up with this hole.,그것은 이 구멍과 맞지 않는다.,"[[823, 'match', '대응하다, 연결하다', 1, '동사'], [824, 'match', '맞먹다, 필적하다', 1, '동사'], [825, 'match', '부응하다', 1, '동사'], [826, 'match', '연결시키다', 1, '동사'], [827, 'match', '어울리다', 1, '동사'], [828, 'match', '일치하다', 1, '동사'], [829, 'match', '짝짓기 하다', 1, '동사'], [830, 'match', '맞수, 호적수', 2, '명사'], [831, 'match', '성냥, 시합', 2, '명사'], [832, 'match', '경기, 시합', 2, '명사']]"
8,701,6,match,동사,1,"조화시키다, 맞추다, 어울리다",My dog can match these pictures to their names.,우리 집 개는 이 사진과 그 이름을 연결시켜 맞출 수 있다.,"[[823, 'match', '대응하다, 연결하다', 1, '동사'], [824, 'match', '맞먹다, 필적하다', 1, '동사'], [825, 'match', '부응하다', 1, '동사'], [826, 'match', '연결시키다', 1, '동사'], [827, 'match', '어울리다', 1, '동사'], [828, 'match', '일치하다', 1, '동사'], [829, 'match', '짝짓기 하다', 1, '동사'], [830, 'match', '맞수, 호적수', 2, '명사'], [831, 'match', '성냥, 시합', 2, '명사'], [832, 'match', '경기, 시합', 2, '명사']]"
9,701,8,match,동사,1,"조화시키다, 맞추다, 어울리다",My dog can match these pictures to their names.,우리 집 개는 이 사진과 그 이름을 연결시켜 맞출 수 있다.,"[[823, 'match', '대응하다, 연결하다', 1, '동사'], [824, 'match', '맞먹다, 필적하다', 1, '동사'], [825, 'match', '부응하다', 1, '동사'], [826, 'match', '연결시키다', 1, '동사'], [827, 'match', '어울리다', 1, '동사'], [828, 'match', '일치하다', 1, '동사'], [829, 'match', '짝짓기 하다', 1, '동사'], [830, 'match', '맞수, 호적수', 2, '명사'], [831, 'match', '성냥, 시합', 2, '명사'], [832, 'match', '경기, 시합', 2, '명사']]"
10,702,1,match,동사,1,연결시키다; 어울리다,Match the faces with the names.,이름과 얼굴 표정을 연결하세요.,"[[823, 'match', '대응하다, 연결하다', 1, '동사'], [824, 'match', '맞먹다, 필적하다', 1, '동사'], [825, 'match', '부응하다', 1, '동사'], [826, 'match', '연결시키다', 1, '동사'], [827, 'match', '어울리다', 1, '동사'], [828, 'match', '일치하다', 1, '동사'], [829, 'match', '짝짓기 하다', 1, '동사'], [830, 'match', '맞수, 호적수', 2, '명사'], [831, 'match', '성냥, 시합', 2, '명사'], [832, 'match', '경기, 시합', 2, '명사']]"
11,703,8,match,명사,2,"경기, 시합",There's a volleyball match every week at the stadium.,매주 경기장에서 배구 경기가 있다.,"[[823, 'match', '대응하다, 연결하다', 1, '동사'], [824, 'match', '맞먹다, 필적하다', 1, '동사'], [825, 'match', '부응하다', 1, '동사'], [826, 'match', '연결시키다', 1, '동사'], [827, 'match', '어울리다', 1, '동사'], [828, 'match', '일치하다', 1, '동사'], [829, 'match', '짝짓기 하다', 1, '동사'], [830, 'match', '맞수, 호적수', 2, '명사'], [831, 'match', '성냥, 시합', 2, '명사'], [832, 'match', '경기, 시합', 2, '명사']]"
12,705,8,match,명사,2,시합,We played a match yesterday.,우리는 어제 시합을 했다.,"[[823, 'match', '대응하다, 연결하다', 1, '동사'], [824, 'match', '맞먹다, 필적하다', 1, '동사'], [825, 'match', '부응하다', 1, '동사'], [826, 'match', '연결시키다', 1, '동사'], [827, 'match', '어울리다', 1, '동사'], [828, 'match', '일치하다', 1, '동사'], [829, 'match', '짝짓기 하다', 1, '동사'], [830, 'match', '맞수, 호적수', 2, '명사'], [831, 'match', '성냥, 시합', 2, '명사'], [832, 'match', '경기, 시합', 2, '명사']]"
