textbook ID,레슨,단어,품사,PoS,뜻,예문,예문 해석,voca_options
701,7,actually,부사,4,"실제로, 정말로","Actually, exercise can be good for your sleep.",운동은 실제로 숙면에 좋을 수 있다.,
701,1,add,동사,1,"더하다, 추가하다",Can you add her name to the list?,그녀의 이름을 명단에 추가해 주시겠습니까?,
701,3,advice,명사,2,"조언, 충고",I need your advice.,당신의 조언이 필요합니다.,"[{""voca_id"": 701, ""word"": ""advice"", ""meaning"": ""조언,충고"", ""pos_no"": 2, ""pos"": ""명사""}]"
701,7,amazing,형용사,3,"놀라운, 굉장한",His story was amazing.,그의 이야기는 놀라웠다.,
701,3,arrive,동사,1,도착하다,We arrived at the airport on time.,우리는 제 시간에 공항에 도착했다.,
701,2,artist,명사,2,"화가, 예술가",The artist is drawing pictures on the street.,화가가 거리에서 그림을 그리고 있다.,
701,6,behind,부사,4,뒤에,There were a lot of people behind me in the line.,내 뒤에 줄 서 있는 사람들이 많았다.,
701,8,behind,부사,4,뒤에,There were a lot of people behind me in the line.,내 뒤에 줄 서 있는 사람들이 많았다.,
701,1,boring,형용사,3,"재미없는, 지루한","The movie was boring, so I fell asleep.",그 영화가 지루해서 나는 잠이 들었다.,
701,7,borrow,동사,1,빌리다,She sometimes borrows clothes from her sister.,그녀는 종종 언니에게서 옷을 빌린다.,
701,1,both,대명사,5,"양쪽, 둘 다",Both of my brothers are university students.,나의 형들은 둘 다 대학생이다.,
701,7,bring,동사,1,"가져오다, 데려오다",Please bring your books with you.,책을 꼭 가지고 오세요.,
701,7,broomstick,명사,2,빗자루,People used broomsticks to clean their houses in the past.,옛날에 사람들은 빗자루를 이용하여 집을 청소했다.,
701,3,buy,동사,1,"사다, 구입하다",I want to buy a new computer.,나는 새 컴퓨터를 사고 싶다.,
701,7,camel,명사,2,낙타,Camels can live in the desert without water for many days.,낙타는 물 없이 사막에서 며칠간 살 수 있다.,
701,3,carefully,부사,4,"주의 깊게, 신중히",We need to speak more carefully.,우리는 더 신중히 말해야 한다.,
701,6,carry,동사,1,"나르다, 가지고 가다",She carried her baby in her arms.,그녀는 팔에 아기를 안고 다녔다.,
701,8,carry,동사,1,"나르다, 가지고 가다",She carried her baby in her arms.,그녀는 팔에 아기를 안고 다녔다.,
701,4,central,형용사,3,중심,Place that table in the center of the room.,저 탁자를 방 한 가운데에 놓으세요.,
701,4,century,명사,2,"세기, 100년",It started in the 17th century.,그것은 17세기에 시작되었다.,"[{""voca_id"": 733, ""word"": ""century"", ""meaning"": ""세기"", ""pos_no"": 2, ""pos"": ""명사""}]"
701,4,change,동사,1,"변하다, 변화",Sounds like you need a change.,너한테 변화가 필요한 것 같구나.,
701,7,cheerful,형용사,3,"명랑한, 기분 좋은",Sunny days make me feel cheerful.,햇빛 좋은 날은 나를 명랑하게 한다.,
701,7,chimney,명사,2,굴뚝,Smoke from fire will go up into the air through the chimney.,불에서 나온 연기가 굴뚝을 통해 공중으로 올라갈 것이다.,
701,1,classmate,명사,2,"반 친구, 급우",James and Patrick are my classmates.,James와 Patrick은 우리 반 친구들이다.,
701,7,coal,명사,2,석탄,I put more coal on the fire.,나는 불 위에 석탄을 더 얹었다.,"[{""voca_id"": 1022, ""word"": ""coal"", ""meaning"": ""석탄"", ""pos_no"": 2, ""pos"": ""명사""}]"
701,4,conclusion,명사,2,결론,I don't agree with your conclusion.,나는 당신의 결론에 동의하지 않습니다.,
701,1,country,명사,2,"국가, 나라",I'm very proud of my country.,나는 우리나라가 매우 자랑스럽다.,
701,6,create,동사,1,"만들다, 창조하다",The chef created a brand-new dish.,그 요리사는 아주 새로운 요리를 만들었다.,"[{""voca_id"": 1060, ""word"": ""create"", ""meaning"": ""창조하다"", ""pos_no"": 1, ""pos"": ""동사""}, {""voca_id"": 1061, ""word"": ""create"", ""meaning"": ""창조하다,만들다"", ""pos_no"": 1, ""pos"": ""동사""}]"
701,8,create,동사,1,"만들다, 창조하다",The chef created a brand-new dish.,그 요리사는 아주 새로운 요리를 만들었다.,"[{""voca_id"": 1060, ""word"": ""create"", ""meaning"": ""창조하다"", ""pos_no"": 1, ""pos"": ""동사""}, {""voca_id"": 1061, ""word"": ""create"", ""meaning"": ""창조하다,만들다"", ""pos_no"": 1, ""pos"": ""동사""}]"
701,2,culture,명사,2,문화,Each country has its own culture.,각 나라는 그들만의 문화가 있다.,
701,3,customer,명사,2,"고객, 손님",Dave is a regular customer at this restaurant.,Dave는 이 식당의 단골 손님이다.,
701,2,decide,동사,1,"결정하다, 결심하다",They decided to go to Paris for their honeymoon.,그들은 신혼여행으로 파리에 가기로 결정했다.,
701,4,delicious,형용사,3,맛있는,This curry tastes delicious.,이 카레는 맛있다.,
701,1,different,형용사,3,"다른, 같지 않은",We had different opinions about the issue.,우리는 그 문제에 대해 다른 견해를 가지고 있었다.,
701,3,discount,명사,2,할인,Please give me a discount.,좀 깎아 주세요.,"[{""voca_id"": 2624, ""word"": ""discount"", ""meaning"": ""할인"", ""pos_no"": 2, ""pos"": ""명사""}, {""voca_id"": 2625, ""word"": ""discount"", ""meaning"": ""할인하다"", ""pos_no"": 1, ""pos"": ""동사""}]"
701,4,discovery,명사,2,발견,Scientists work hard to make great discoveries.,과학자들은 위대한 발견을 하기 위해 열심히 일한다.,
701,5,do one's best,숙어/관용어,9,최선을 다하다,I will do my best to get good grades.,나는 좋은 성적을 받기 위해 최선을 다할 것이다.,
701,3,donate,동사,1,"기부하다, 기증하다",I donate money to many different charities each year.,나는 매년 여러 다양한 자선 단체에 돈을 기부한다.,"[{""voca_id"": 1093, ""word"": ""donate"", ""meaning"": ""헌혈하다,(장기를) 기증하다"", ""pos_no"": 1, ""pos"": ""동사""}, {""voca_id"": 1094, ""word"": ""donate"", ""meaning"": ""기부하다"", ""pos_no"": 1, ""pos"": ""동사""}]"
701,2,draw,동사,1,(그림을) 그리다,The child likes to draw pictures of animals.,그 아이는 동물 그림 그리는 것을 좋아한다.,
701,5,drop,동사,1,떨어지다[뜨리다],He dropped his smartphone on the floor.,그는 스마트폰을 바닥에 떨어뜨렸다.,
701,2,during,전치사,6,~ 동안 (내내),I was busy during the weekend.,나는 주말 동안 바빴다.,
701,4,Earth,명사,2,지구,Earth is the third planet from the sun.,지구는 태양에서 세 번째 행성이다.,
701,6,emotion,명사,2,"감정, 정서",He sang the song with a lot of emotion.,그는 많은 감정을 담아 그 노래를 불렀다.,"[{""voca_id"": 773, ""word"": ""emotion"", ""meaning"": ""감정"", ""pos_no"": 2, ""pos"": ""명사""}]"
701,8,emotion,명사,2,"감정, 정서",He sang the song with a lot of emotion.,그는 많은 감정을 담아 그 노래를 불렀다.,"[{""voca_id"": 773, ""word"": ""emotion"", ""meaning"": ""감정"", ""pos_no"": 2, ""pos"": ""명사""}]"
701,2,enjoy,동사,1,"즐기다, 즐겁게 ~하다",I enjoy taking hot baths.,나는 뜨거운 물에 목욕하는 것을 즐긴다.,"[{""voca_id"": 1113, ""word"": ""enjoy"", ""meaning"": ""즐기다"", ""pos_no"": 1, ""pos"": ""동사""}]"
701,1,evening,명사,2,저녁,They arrived home in the evening.,그들은 저녁에 집에 도착했다.,
701,6,everywhere,부사,4,"모든 곳에, 어디나",I looked everywhere but I couldn't find my cell phone.,모든 곳을 찾아 봤지만 핸드폰을 찾을 수는 없었다.,
701,8,everywhere,부사,4,"모든 곳에, 어디나",I looked everywhere but I couldn't find my cell phone.,모든 곳을 찾아 봤지만 핸드폰을 찾을 수는 없었다.,
701,3,expensive,형용사,3,"비싼, 고가의",He bought her an expensive doll.,그는 그녀에게 비싼 인형을 사 주었다.,"[{""voca_id"": 1128, ""word"": ""expensive"", ""meaning"": ""비싼"", ""pos_no"": 3, ""pos"": ""형용사""}]"
701,5,experience,명사,2,"겪다, 경험하다",You can experience new things in other countries.,다른 나라에서는 새로운 것들을 경험할 수 있다.,"[{""voca_id"": 1129, ""word"": ""experience"", ""meaning"": ""경험하다"", ""pos_no"": 1, ""pos"": ""동사""}, {""voca_id"": 2636, ""word"": ""experience"", ""meaning"": ""경험하다, 겪다"", ""pos_no"": 1, ""pos"": ""동사""}, {""voca_id"": 2637, ""word"": ""experience"", ""meaning"": ""경험"", ""pos_no"": 2, ""pos"": ""명사""}]"
701,6,explore,동사,1,"나타내다, 표현하다",She doesn't express her feelings well.,그녀는 자신의 감정을 잘 표현하지 않는다.,
701,8,express,동사,1,"나타내다, 표현하다",She doesn't express her feelings well.,그녀는 자신의 감정을 잘 표현하지 않는다.,"[{""voca_id"": 785, ""word"": ""express"", ""meaning"": ""표현하다"", ""pos_no"": 1, ""pos"": ""동사""}, {""voca_id"": 786, ""word"": ""express"", ""meaning"": ""특급 배송"", ""pos_no"": 2, ""pos"": ""명사""}, {""voca_id"": 787, ""word"": ""express"", ""meaning"": ""급행의,신속한"", ""pos_no"": 3, ""pos"": ""형용사""}]"
701,4,fact,명사,2,사실,Everyone knows that the sun rises in the east. It's a fact.,모든 사람이 해가 동쪽에서 뜨는 것을 알고 있다. 그것은 사실이다.,
701,2,famous,형용사,3,유명한,A famous actress lives in this building.,유명한 여배우가 이 건물에 산다.,
701,1,favorite,형용사,3,아주 좋아하는,My favorite song is playing on the radio.,내가 좋아하는 노래가 라디오에서 나온다.,
701,5,field,명사,2,"들판, 광장, 경기장, 분야",My school has a big soccer field.,우리 학교에는 큰 축구 경기장이 있다.,
701,5,final,"명사,형용사",,"마지막의, 최종적인, 결승전",They went home to watch the World Cup finals.,그들은 월드컵 결승전을 보기 위해 집으로 갔다.,"[{""voca_id"": 1153, ""word"": ""final"", ""meaning"": ""결승전"", ""pos_no"": 2, ""pos"": ""명사""}, {""voca_id"": 1154, ""word"": ""final"", ""meaning"": ""기말시험"", ""pos_no"": 2, ""pos"": ""명사""}, {""voca_id"": 1155, ""word"": ""final"", ""meaning"": ""최종의"", ""pos_no"": 3, ""pos"": ""형용사""}]"
701,3,find,동사,1,"찾다, 발견하다",I can't find my keys anywhere.,나는 어디에서도 내 열쇠를 찾을 수 없다.,
701,3,flea market,명사,2,벼룩시장,I bought this shirt at a flea market.,나는 이 셔츠를 벼룩시장에서 샀다.,
701,5,floating,형용사,3,(물이나 공중에) 떠 있는,Some people use boats as floating houses.,어떤 사람들은 배를 수상 가옥으로 사용하기도 한다.,
701,5,follow,동사,1,"뒤따르다, 따르다",The dog followed the man into the house.,그 개가 집안으로 남자를 따라왔다.,"[{""voca_id"": 1182, ""word"": ""follow"", ""meaning"": ""따르다,(사회관계망 서비스 등에)팔로하다"", ""pos_no"": 1, ""pos"": ""동사""}, {""voca_id"": 1183, ""word"": ""follow"", ""meaning"": ""(분명히) 이해하다"", ""pos_no"": 1, ""pos"": ""동사""}]"
701,4,future,"명사, 형용사",,"미래, 장래",Our lives will be different in the future.,미래에 우리 삶은 달라질 것이다.,
701,7,garlic,명사,2,마늘,Try to eat garlic every day. It's good for your health.,매일 마늘을 먹도록 해라. 마늘은 건강에 좋다.,
701,5,give up,"동사, 숙어/관용어",,포기하다,Don't give up hope in any case.,어떠한 상황이든 희망을 잃지 마.,
701,7,goat,명사,2,염소,Wild goats live in the mountains.,야생 염소는 산에서 산다.,
701,6,grade,명사,2,"등급, 학년, 성적",I got a bad grade on my math test.,나는 수학 시험에서 좋지 않은 성적을 받았다.,"[{""voca_id"": 1203, ""word"": ""grade"", ""meaning"": ""채점하다"", ""pos_no"": 1, ""pos"": ""동사""}, {""voca_id"": 1204, ""word"": ""grade"", ""meaning"": ""등급"", ""pos_no"": 2, ""pos"": ""명사""}, {""voca_id"": 1205, ""word"": ""grade"", ""meaning"": ""성적,등급"", ""pos_no"": 2, ""pos"": ""명사""}, {""voca_id"": 1206, ""word"": ""grade"", ""meaning"": ""학년,성적"", ""pos_no"": 2, ""pos"": ""명사""}]"
701,8,grade,명사,2,"등급, 학년, 성적",I got a bad grade on my math test.,나는 수학 시험에서 좋지 않은 성적을 받았다.,"[{""voca_id"": 1203, ""word"": ""grade"", ""meaning"": ""채점하다"", ""pos_no"": 1, ""pos"": ""동사""}, {""voca_id"": 1204, ""word"": ""grade"", ""meaning"": ""등급"", ""pos_no"": 2, ""pos"": ""명사""}, {""voca_id"": 1205, ""word"": ""grade"", ""meaning"": ""성적,등급"", ""pos_no"": 2, ""pos"": ""명사""}, {""voca_id"": 1206, ""word"": ""grade"", ""meaning"": ""학년,성적"", ""pos_no"": 2, ""pos"": ""명사""}]"
701,7,grass,명사,2,"풀, 잔디",Don't walk on the grass.,잔디 위를 걷지 마라.,
701,6,grow up,동사,1,성장하다,My daughter wants to be a doctor when she grows up.,우리 딸은 커서 의사가 되고 싶어 한다.,
701,8,grow up,동사,1,성장하다,My daughter wants to be a doctor when she grows up.,우리 딸은 커서 의사가 되고 싶어 한다.,
701,3,half,명사,2,"반, 절반",I know half of the people in the room.,나는 방에 있는 사람들의 절반을 안다.,"[{""voca_id"": 1215, ""word"": ""half"", ""meaning"": ""절반"", ""pos_no"": 2, ""pos"": ""명사""}, {""voca_id"": 1216, ""word"": ""half"", ""meaning"": ""30분"", ""pos_no"": 2, ""pos"": ""명사""}]"
701,4,healthy,형용사,3,"건강한, 건강에 좋은",Plants need sunlight to stay healthy.,식물은 건강하게 자라기 위해 햇빛이 필요하다.,"[{""voca_id"": 1226, ""word"": ""healthy"", ""meaning"": ""건강한,건강에 좋은"", ""pos_no"": 3, ""pos"": ""형용사""}]"
701,2,holiday,명사,2,"휴일, 휴가",New Year's Day is a public holiday.,1월 1일은 공휴일이다.,
701,1,hometown,명사,2,고향,His hometown is London.,그의 고향은 런던이다.,
701,4,human,"형용사, 명사",,"인간의, 사람의, 인간",Dogs can hear better than humans.,개들은 인간보다 더 잘 들을 수 있다.,
701,4,impossible,형용사,3,불가능한,Life without a cell phone is impossible in modern times.,현대 사회에서 휴대전화가 없는 삶은 불가능하다.,
701,4,information,명사,2,정보,Visit the website for more information.,더 많은 정보를 원하시면 웹사이트를 방문하십시오.,
701,6,instrument,명사,2,"기구, 도구, 악기",My favorite musical instrument is the violin.,내가 가장 좋아하는 악기는 바이올린이다.,"[{""voca_id"": 807, ""word"": ""instrument"", ""meaning"": ""기구,도구"", ""pos_no"": 2, ""pos"": ""명사""}, {""voca_id"": 808, ""word"": ""instrument"", ""meaning"": ""악기,도구"", ""pos_no"": 2, ""pos"": ""명사""}]"
701,8,instrument,명사,2,"기구, 도구, 악기",My favorite musical instrument is the violin.,내가 가장 좋아하는 악기는 바이올린이다.,"[{""voca_id"": 807, ""word"": ""instrument"", ""meaning"": ""기구,도구"", ""pos_no"": 2, ""pos"": ""명사""}, {""voca_id"": 808, ""word"": ""instrument"", ""meaning"": ""악기,도구"", ""pos_no"": 2, ""pos"": ""명사""}]"
701,1,interest,명사,2,"관심, 흥미",I have an interest in music.,나는 음악에 관심이 있다.,"[{""voca_id"": 1246, ""word"": ""interest"", ""meaning"": ""관심을 끌다"", ""pos_no"": 1, ""pos"": ""동사""}, {""voca_id"": 1247, ""word"": ""interest"", ""meaning"": ""흥미롭게 하다"", ""pos_no"": 1, ""pos"": ""동사""}, {""voca_id"": 1248, ""word"": ""interest"", ""meaning"": ""관심,흥미"", ""pos_no"": 2, ""pos"": ""명사""}, {""voca_id"": 1249, ""word"": ""interest"", ""meaning"": ""이익"", ""pos_no"": 2, ""pos"": ""명사""}, {""voca_id"": 1250, ""word"": ""interest"", ""meaning"": ""(금융) 이자"", ""pos_no"": 2, ""pos"": ""명사""}]"
701,1,interesting,형용사,3,"재미있는, 흥미로운",This book is very interesting.,이 책은 매우 흥미롭다.,
701,4,invention,명사,2,"발명, 발명품",This invention can read books to blind people.,이 발명품은 맹인에게 책을 읽어줄 수 있다.,
701,3,item,명사,2,"품목, 항목",There were many items on display in the store window.,상점 진열창에 많은 물건들이 진열되어 있었다.,"[{""voca_id"": 1254, ""word"": ""item"", ""meaning"": ""물품,항목"", ""pos_no"": 2, ""pos"": ""명사""}]"
701,7,knock,동사,1,"두드리다, 노크하다",He always knocks on the door when he goes into his daughter's room.,그는 항상 딸의 방에 들어갈 때 방문을 두드린다.,"[{""voca_id"": 2672, ""word"": ""knock"", ""meaning"": ""두드리다"", ""pos_no"": 1, ""pos"": ""동사""}, {""voca_id"": 2673, ""word"": ""knock"", ""meaning"": ""노크"", ""pos_no"": 2, ""pos"": ""명사""}]"
701,7,know,동사,1,"알다, 알고 있다",He knows many things about Korean culture.,그는 한국 문화에 대해 많은 것을 알고 있다.,
701,6,law,명사,2,"법률, 법학",He studied law and became a lawyer.,그는 법을 공부하고 변호사가 되었다.,"[{""voca_id"": 1262, ""word"": ""law"", ""meaning"": ""(과학/철학상의) 법칙"", ""pos_no"": 2, ""pos"": ""명사""}, {""voca_id"": 1263, ""word"": ""law"", ""meaning"": ""법"", ""pos_no"": 2, ""pos"": ""명사""}]"
701,8,law,명사,2,"법률, 법학",He studied law and became a lawyer.,그는 법을 공부하고 변호사가 되었다.,"[{""voca_id"": 1262, ""word"": ""law"", ""meaning"": ""(과학/철학상의) 법칙"", ""pos_no"": 2, ""pos"": ""명사""}, {""voca_id"": 1263, ""word"": ""law"", ""meaning"": ""법"", ""pos_no"": 2, ""pos"": ""명사""}]"
701,4,lesson,명사,2,"수업, 교훈",He learns life lessons from his dad.,그는 아버지에게 인생 교훈을 배운다.,
701,4,library,명사,2,도서관,I borrowed some art books from the library.,나는 도서관에서 미술책들을 몇 권 빌렸다.,
701,7,look for,"동사,숙어/관용어",#REF!,"찾다, 구하다",My older brother is looking for a job these days.,요즘 오빠는 직업을 찾고 있어요.,
701,5,lose,동사,#REF!,"잃다, 지다","She practiced hard, but she lost the game.","그녀는 열심히 연습했지만, 시합에서 졌다.","[{""voca_id"": 1289, ""word"": ""lose"", ""meaning"": ""잃다,경기에 지다"", ""pos_no"": 1, ""pos"": ""동사""}, {""voca_id"": 1290, ""word"": ""lose"", ""meaning"": ""경기에 지다"", ""pos_no"": 1, ""pos"": ""동사""}]"
701,6,loudly,부사,#REF!,"큰 소리로, 소리 높이",You should not talk loudly in the library.,도서관에서 크게 이야기해서는 안 된다.,
701,8,loudly,부사,#REF!,"큰 소리로, 소리 높이",You should not talk loudly in the library.,도서관에서 크게 이야기해서는 안 된다.,
701,3,low,형용사,#REF!,"낮은, (값이) 싼",I got a low grade on the math test.,나는 수학 시험에서 낮은 점수를 받았다.,
701,7,luck,명사,#REF!,행운,I need a bit of luck to win this game.,이번 게임을 이기려면 조금의 행운이 필요하다.,
701,1,map,명사,2,"지도, 약도","According to this map, the park is over there.",이 지도에 따르면 공원은 저쪽에 있다.,
701,6,match,동사,1,"조화시키다, 맞추다, 어울리다",My dog can match these pictures to their names.,우리 집 개는 이 사진과 그 이름을 연결시켜 맞출 수 있다.,"[{""voca_id"": 823, ""word"": ""match"", ""meaning"": ""대응하다,연결하다"", ""pos_no"": 1, ""pos"": ""동사""}, {""voca_id"": 824, ""word"": ""match"", ""meaning"": ""맞먹다,필적하다"", ""pos_no"": 1, ""pos"": ""동사""}, {""voca_id"": 825, ""word"": ""match"", ""meaning"": ""부응하다"", ""pos_no"": 1, ""pos"": ""동사""}, {""voca_id"": 826, ""word"": ""match"", ""meaning"": ""연결시키다"", ""pos_no"": 1, ""pos"": ""동사""}, {""voca_id"": 827, ""word"": ""match"", ""meaning"": ""어울리다"", ""pos_no"": 1, ""pos"": ""동사""}, {""voca_id"": 828, ""word"": ""match"", ""meaning"": ""일치하다"", ""pos_no"": 1, ""pos"": ""동사""}, {""voca_id"": 829, ""word"": ""match"", ""meaning"": ""짝짓기 하다"", ""pos_no"": 1, ""pos"": ""동사""}, {""voca_id"": 830, ""word"": ""match"", ""meaning"": ""맞수,호적수"", ""pos_no"": 2, ""pos"": ""명사""}, {""voca_id"": 831, ""word"": ""match"", ""meaning"": ""성냥,시합"", ""pos_no"": 2, ""pos"": ""명사""}, {""voca_id"": 832, ""word"": ""match"", ""meaning"": ""경기,시합"", ""pos_no"": 2, ""pos"": ""명사""}]"
701,8,match,동사,1,"조화시키다, 맞추다, 어울리다",My dog can match these pictures to their names.,우리 집 개는 이 사진과 그 이름을 연결시켜 맞출 수 있다.,"[{""voca_id"": 823, ""word"": ""match"", ""meaning"": ""대응하다,연결하다"", ""pos_no"": 1, ""pos"": ""동사""}, {""voca_id"": 824, ""word"": ""match"", ""meaning"": ""맞먹다,필적하다"", ""pos_no"": 1, ""pos"": ""동사""}, {""voca_id"": 825, ""word"": ""match"", ""meaning"": ""부응하다"", ""pos_no"": 1, ""pos"": ""동사""}, {""voca_id"": 826, ""word"": ""match"", ""meaning"": ""연결시키다"", ""pos_no"": 1, ""pos"": ""동사""}, {""voca_id"": 827, ""word"": ""match"", ""meaning"": ""어울리다"", ""pos_no"": 1, ""pos"": ""동사""}, {""voca_id"": 828, ""word"": ""match"", ""meaning"": ""일치하다"", ""pos_no"": 1, ""pos"": ""동사""}, {""voca_id"": 829, ""word"": ""match"", ""meaning"": ""짝짓기 하다"", ""pos_no"": 1, ""pos"": ""동사""}, {""voca_id"": 830, ""word"": ""match"", ""meaning"": ""맞수,호적수"", ""pos_no"": 2, ""pos"": ""명사""}, {""voca_id"": 831, ""word"": ""match"", ""meaning"": ""성냥,시합"", ""pos_no"": 2, ""pos"": ""명사""}, {""voca_id"": 832, ""word"": ""match"", ""meaning"": ""경기,시합"", ""pos_no"": 2, ""pos"": ""명사""}]"
